,LOCATION_N,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm,Park_Name
153,Mary Moore Searight Metro Park,37094,16729,8343,662,1833,664,8386,431,1350,712,342.65952,48,24,1,5,1,24,1,3,2,1094,3,3183,9,1376,4,Mary Moore Searight Metro Park
154,Mayfield Park,7195,499,244,15,73,43,255,12,55,51,23.331,21,10,0,3,1,10,0,2,2,28,1,129,5,94,4,Mayfield Park
155,Meadowview Triangle,2319,212,122,8,15,2,90,8,22,1,0.41758451,508,292,19,38,5,216,20,54,2,16,40,38,92,3,8,Meadowview Triangle
156,Metz Neighborhood Park,4331,463,191,11,48,18,272,0,32,47,6.54525012,70,29,1,7,2,41,0,5,7,12,1,81,12,65,10,Metz Neighborhood Park
157,Michael Butler Park at Town Lake Metro Park,13029,511,257,2,12,20,254,9,29,20,20.299373,25,12,0,0,0,12,0,1,1,11,0,42,2,40,2,Michael Butler Park at Town Lake Metro Park
158,Michael Butler Shores at Town Lake Metro Park,9294,792,385,1,16,23,407,19,39,47,28.65,27,13,0,0,0,14,0,1,1,20,0,56,1,71,2,Michael Butler Shores at Town Lake Metro Park
159,Millennium Center,2391,431,191,28,81,14,240,11,62,10,5.5415,77,34,5,14,2,43,2,11,1,40,7,144,26,25,4,Millennium Center
160,Montopolis Neighborhood Park,3999,1160,680,75,195,28,480,8,117,59,7.61,152,89,9,25,3,63,1,15,7,83,11,313,41,88,11,Montopolis Neighborhood Park
161,Montopolis Practice Fields,8705,1005,521,77,189,31,484,75,162,26,4.11,244,126,18,46,7,117,18,39,6,153,37,352,85,58,14,Montopolis Practice Fields
162,Morris Williams Golf Course,13385,3581,1667,102,305,161,1914,85,358,238,187.793,19,8,0,1,0,10,0,1,1,188,1,663,3,400,2,Morris Williams Golf Course
163,Mountain View Neighborhood Park,3620,366,191,3,62,12,175,4,38,16,8.273,44,23,0,7,1,21,0,4,1,7,0,101,12,28,3,Mountain View Neighborhood Park
164,Murchison Pool,4675,152,72,0,7,5,79,2,13,9,1.15,132,62,0,6,5,69,2,11,8,3,3,21,18,15,13,Murchison Pool
165,Musket Valley Neighborhood Park,16293,505,249,28,74,14,255,18,58,18,15.91,31,15,1,4,0,16,1,3,1,46,2,132,8,33,2,Musket Valley Neighborhood Park
166,Nicholas Dawson Neighborhood Park,4264,464,242,1,10,20,222,4,28,9,3.1977,145,75,0,3,6,69,1,8,3,5,1,38,12,30,9,Nicholas Dawson Neighborhood Park
167,Norman School Park,3013,147,69,1,11,6,78,6,18,9,6.9,21,10,0,1,1,11,0,2,1,7,1,30,4,16,2,Norman School Park
168,North Acres Greenbelt,36056,14272,7836,806,1958,280,6435,656,2063,413,2.456,5811,3190,328,797,114,2620,267,840,168,1463,595,4022,1637,694,282,North Acres Greenbelt
169,North Cat Mountain Greenbelt,22553,7961,3834,215,817,692,4126,184,931,796,30.71661354,259,124,7,26,22,134,6,30,25,400,13,1749,56,1489,48,North Cat Mountain Greenbelt
170,North Oaks Neighbohood Park,3516,588,269,20,39,34,318,21,74,54,4.616,127,58,4,8,7,69,4,16,11,42,9,114,24,88,19,North Oaks Neighbohood Park
171,North Star Greenbelt,23952,12704,6618,396,1022,631,6086,552,1260,664,17.61856003,721,375,22,58,35,345,31,71,37,949,53,2283,129,1295,73,North Star Greenbelt
172,Northern Walnut Creek Greenbelt,112988,52874,26695,2071,4976,1884,26179,1942,4939,2725,387.40866616,136,68,5,12,4,67,5,12,7,4013,10,9915,25,4609,11,Northern Walnut Creek Greenbelt
173,Northwest Balcones Neighborhood Park,5513,427,226,23,62,38,200,14,48,32,7.17204959,59,31,3,8,5,28,2,6,4,37,5,110,15,70,9,Northwest Balcones Neighborhood Park
174,Northwest Recreation Center,4841,420,206,25,66,26,214,12,40,29,6.66585983,63,30,3,9,3,32,1,6,4,37,5,107,16,55,8,Northwest Recreation Center
175,Norwood Tract at Town Lake Metro Park,8571,969,538,16,48,41,431,13,39,44,9.52917438,101,56,1,5,4,45,1,4,4,30,3,87,9,85,8,Norwood Tract at Town Lake Metro Park
176,Oak Springs School Park,4268,239,120,17,33,22,119,3,21,23,6.13,39,19,2,5,3,19,0,3,3,20,3,54,8,45,7,Oak Springs School Park
177,Oak View Neighborhood Park,5099,750,377,18,97,48,372,29,106,40,6.975217,107,54,2,14,6,53,4,15,5,48,6,204,29,88,12,Oak View Neighborhood Park
178,Oakhill Neighborhood Park,5970,310,149,2,22,23,160,9,34,21,14.495,21,10,0,1,1,11,0,2,1,12,0,57,3,45,3,Oakhill Neighborhood Park
179,Odom School Park,6478,397,209,11,33,22,187,23,39,23,4.3,92,48,2,7,5,43,5,9,5,34,8,73,17,46,10,Odom School Park
180,Oertli Neighborhood Park,7969,274,128,11,25,8,146,7,22,8,6.0,45,21,1,4,1,24,1,3,1,19,3,48,8,17,2,Oertli Neighborhood Park
181,Old Bakery and Emporium,5232,114,72,0,0,6,42,0,0,5,0.31203828,366,231,0,0,19,134,0,1,17,0,0,0,1,11,37,Old Bakery and Emporium
182,Old San Antonio District Park,4954,0,0,0,0,0,0,0,0,0,57.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Old San Antonio District Park
183,Old San Antonio Greenbelt,13118,3841,1930,98,349,327,1911,85,293,409,28.33,135,68,3,12,11,67,3,10,14,183,6,642,22,736,26,Old San Antonio Greenbelt
184,Onion Creek Greenbelt,46540,21132,10426,861,2853,549,10705,909,3262,566,235.65838265,89,44,3,12,2,45,3,13,2,1771,7,6115,25,1116,4,Onion Creek Greenbelt
185,Onion Creek Metro Park,40693,17620,8382,588,2235,502,9237,803,3031,454,517.312,34,16,1,4,0,17,1,5,0,1391,2,5266,10,956,1,Onion Creek Metro Park
186,Onion Creek Soccer Complex,11343,548,288,14,63,11,260,27,71,15,112.46,4,2,0,0,0,2,0,0,0,41,0,135,1,26,0,Onion Creek Soccer Complex
187,Onion Creek Wildlife Sanctuary,1805,570,249,3,72,31,320,50,131,27,180.0,3,1,0,0,0,1,0,0,0,53,0,203,1,59,0,Onion Creek Wildlife Sanctuary
188,Ortega School Park,4540,290,163,17,30,18,127,1,31,15,4.23478002,68,38,4,7,4,30,0,7,3,19,4,61,14,34,8,Ortega School Park
189,Palma Plaza Pocket Park,2275,220,113,0,10,8,107,10,18,5,0.2066,1065,547,2,49,39,518,49,87,26,10,51,28,136,13,66,Palma Plaza Pocket Park
190,Pan American Neighborhood Park,6222,859,387,13,121,26,472,36,122,65,5.22503385,164,74,2,23,5,90,7,23,12,50,9,244,46,92,17,Pan American Neighborhood Park
191,Parque Zaragoza Neighborhood Park,7308,825,420,16,94,54,404,28,81,47,15.273,54,27,1,6,3,26,1,5,3,44,2,175,11,102,6,Parque Zaragoza Neighborhood Park
192,Pastor Edward Clarence Craig Jr. Neighborhood Park,5676,1231,617,101,289,20,614,53,234,14,5.3,232,116,19,54,3,116,10,44,2,154,29,524,98,35,6,Pastor Edward Clarence Craig Jr. Neighborhood Park
193,Patterson Neighborhood Park,6655,533,254,16,43,17,278,12,39,35,9.29,57,27,1,4,1,30,1,4,3,29,3,83,8,52,5,Patterson Neighborhood Park
194,Payton Gin Pocket Park,11234,387,214,18,48,5,173,25,52,7,0.9709,399,220,18,50,5,178,26,53,7,44,45,100,103,13,13,Payton Gin Pocket Park
195,Peace Point at Town Lake Metro Park,3440,846,502,13,48,7,344,11,80,17,5.46668977,154,91,2,8,1,62,2,14,3,24,4,129,23,25,4,Peace Point at Town Lake Metro Park
196,Pease District Park,19456,5202,3028,77,188,105,2174,84,195,71,42.68088432,121,70,1,4,2,50,1,4,1,162,3,384,9,177,4,Pease District Park
197,Pecan Springs School Park,2272,270,124,6,27,10,146,12,35,11,4.55,59,27,1,5,2,32,2,7,2,19,4,62,13,21,4,Pecan Springs School Park
198,Perry Neighborhood Park,3842,332,163,9,31,17,169,16,46,23,10.3933043,31,15,0,3,1,16,1,4,2,25,2,78,7,41,3,Perry Neighborhood Park
199,Pickfair Pocket Park,3731,118,57,1,15,8,61,2,17,9,1.237,96,46,1,12,6,49,2,13,7,4,3,32,26,17,14,Pickfair Pocket Park
200,Pillow School Park,1588,210,128,9,19,8,82,4,6,13,6.62859478,31,19,1,2,1,12,0,0,2,14,2,25,3,22,3,Pillow School Park
201,Piney Bend Neighborhood Park,7824,706,311,25,71,16,395,16,50,38,4.335,163,71,5,16,3,91,3,11,8,41,9,122,28,55,12,Piney Bend Neighborhood Park
202,Pioneer Crossing Neighborhood Park,8242,425,212,22,78,8,213,16,63,11,17.96,23,11,1,4,0,11,0,3,0,38,2,142,7,19,1,Pioneer Crossing Neighborhood Park
203,Ponciana Neighborhood Park,6828,1087,527,37,168,23,560,36,199,27,5.179,209,101,7,32,4,108,7,38,5,74,14,368,71,51,9,Ponciana Neighborhood Park
204,Quail Creek Neighborhood Park,15053,2506,1427,97,366,12,1078,160,330,45,16.299,153,87,5,22,0,66,9,20,2,258,15,697,42,58,3,Quail Creek Neighborhood Park
205,Ramsey Neighborhood Park,4793,688,352,6,33,66,335,15,60,63,5.26800149,130,66,1,6,12,63,2,11,12,21,4,93,17,129,24,Ramsey Neighborhood Park
206,Red Bluff Nature Preserve,10496,1905,967,59,184,99,938,54,223,110,49.736,38,19,1,3,1,18,1,4,2,114,2,408,8,209,4,Red Bluff Nature Preserve
207,Red Bluff Neighborhood Park,6703,254,121,3,21,12,133,10,31,15,7.196,35,16,0,2,1,18,1,4,2,13,1,52,7,27,3,Red Bluff Neighborhood Park
208,Red Bud Isle,6517,527,284,7,41,22,242,8,41,42,17.49307899,30,16,0,2,1,13,0,2,2,16,0,83,4,64,3,Red Bud Isle
209,Reed Neighborhood Park,1800,379,176,8,59,32,203,4,47,30,6.35935429,59,27,1,9,5,31,0,7,4,12,1,106,16,63,9,Reed Neighborhood Park
210,Reilly School Park,1640,199,95,5,12,6,103,2,22,5,9.86,20,9,0,1,0,10,0,2,0,8,0,34,3,11,1,Reilly School Park
211,Republic Square,4109,170,107,0,0,8,62,0,0,8,1.748,97,61,0,0,5,35,0,0,4,0,0,0,0,16,9,Republic Square
212,Riata Neighborhood Park,5163,500,289,35,74,15,211,8,34,17,8.08,61,35,4,9,1,26,1,4,2,43,5,108,13,32,4,Riata Neighborhood Park
213,Ricky Guerrero Neighborhood Park,5329,203,113,18,27,16,90,16,27,9,1.90776495,106,59,9,14,8,47,8,14,4,35,18,54,28,25,13,Ricky Guerrero Neighborhood Park
214,Rinard Creek Greenbelt,17487,5044,2633,159,556,313,2411,233,556,332,22.633,222,116,7,24,13,106,10,24,14,393,17,1112,49,646,28,Rinard Creek Greenbelt
215,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,9223,180,108,0,0,12,72,0,1,11,1.63434011,110,66,0,0,7,44,0,0,7,0,0,2,1,23,14,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park
216,Ron Rigsby Pocket Park,3127,404,233,18,69,8,170,15,50,13,0.8357,484,279,22,83,9,204,18,60,16,34,40,120,144,22,26,Ron Rigsby Pocket Park
217,Rosewood Neighborhood Park,4281,730,377,46,104,14,352,21,76,24,14.22276674,51,26,3,7,0,24,1,5,1,68,4,180,12,38,2,Rosewood Neighborhood Park
218,Roy G. Guerrero Colorado River Metro Park,47805,25824,13804,719,2351,539,12020,512,2257,889,399.46658273,64,34,1,5,1,30,1,5,2,1232,3,4608,11,1428,3,Roy G. Guerrero Colorado River Metro Park
219,Roy Kizer Golf Course,38117,10360,5329,378,1402,312,5031,350,1472,316,265.19065743,39,20,1,5,1,18,1,5,1,729,2,2874,10,628,2,Roy Kizer Golf Course
220,Ryan Planting Strip,2151,185,87,4,6,7,97,4,19,8,0.24088698,768,365,17,25,30,403,20,81,35,9,37,25,107,15,66,Ryan Planting Strip
221,Salt Springs Neighborhood Park,3802,102,59,1,10,1,43,4,15,1,9.45904729,10,6,0,1,0,4,0,1,0,5,0,26,2,3,0,Salt Springs Neighborhood Park
222,Sanchez School Park,1329,150,73,0,6,7,76,0,3,18,1.3,116,56,0,4,5,59,0,2,14,0,0,10,7,25,19,Sanchez School Park
223,Schieffer Tract,7664,522,254,20,67,16,268,25,69,21,4.35596015,120,58,4,15,3,61,5,15,4,45,10,136,31,37,8,Schieffer Tract
224,Scofield Farms Neighborhood Park,9260,1111,524,26,78,33,586,48,125,46,20.6445,53,25,1,3,1,28,2,6,2,74,3,203,9,80,3,Scofield Farms Neighborhood Park
225,Seiders Springs at Shoal Creek Greenbelt,24497,10545,5113,211,702,481,5432,407,955,620,4.22,2499,1211,50,166,114,1287,96,226,147,619,146,1657,392,1102,261,Seiders Springs at Shoal Creek Greenbelt
226,Sendera Mesa Neighborhood Park,6953,484,252,20,67,9,232,13,36,14,4.61649392,105,54,4,14,2,50,2,8,3,33,7,104,22,23,5,Sendera Mesa Neighborhood Park
227,Shinoak Valley Greenbelt,16013,8112,4043,214,819,598,4069,232,723,718,10.46021446,775,386,20,78,57,389,22,69,68,447,42,1543,147,1317,125,Shinoak Valley Greenbelt
228,Shipe Neighborhood Park,7157,662,325,16,31,36,336,20,53,12,2.45876512,269,132,6,13,14,136,8,21,4,36,15,85,34,48,19,Shipe Neighborhood Park
229,Shoal Beach at Town Lake Metro Park,13719,1179,660,1,15,50,518,14,24,59,13.48083855,87,48,0,1,3,38,1,1,4,16,1,39,2,109,8,Shoal Beach at Town Lake Metro Park
230,Shoal Creek Greenbelt,90397,59213,29457,843,2399,1870,29755,1052,2889,2153,80.67868635,733,365,10,29,23,368,13,35,26,1896,23,5288,65,4023,49,Shoal Creek Greenbelt
231,Silk Oak Neighborhood Park,4244,744,351,22,74,34,393,22,35,53,17.68232301,42,19,1,4,1,22,1,1,3,45,2,109,6,88,4,Silk Oak Neighborhood Park
232,Sir Swante Palm Neighborhood Park,7631,623,365,1,8,39,257,7,19,36,3.24240255,192,112,0,2,12,79,2,5,11,9,2,27,8,75,23,Sir Swante Palm Neighborhood Park
233,Slaughter Creek Greenbelt,26032,13095,6429,512,1431,510,6666,361,1250,594,73.780646,177,87,6,19,6,90,4,16,8,873,11,2681,36,1105,14,Slaughter Creek Greenbelt
234,South Austin Island,4010,146,72,5,11,5,74,0,9,9,0.06846614,2136,1053,73,166,73,1082,14,131,144,6,88,20,298,14,217,South Austin Island
235,South Austin Neighborhood Park,5601,809,442,44,104,27,366,36,53,34,12.27,65,36,3,8,2,29,2,4,2,80,6,158,12,62,5,South Austin Neighborhood Park
236,South Austin Senior Activity Center,6395,954,423,19,65,11,531,37,100,30,4.63,206,91,4,14,2,114,7,21,6,56,12,165,35,41,9,South Austin Senior Activity Center
237,South Austin Tennis Center,4264,800,446,49,117,31,353,35,51,36,12.05,66,37,4,9,2,29,2,4,3,85,7,169,14,68,5,South Austin Tennis Center
238,South Boggy Creek Greenbelt,59821,25459,12866,988,2970,788,12592,814,2545,894,29.853245,852,431,33,99,26,421,27,85,29,1802,60,5516,184,1683,56,South Boggy Creek Greenbelt
239,South Boggy Creek Greenbelt,59821,25459,12866,988,2970,788,12592,814,2545,894,8.54716954,2978,1505,115,347,92,1473,95,297,104,1802,210,5516,645,1683,196,South Boggy Creek Greenbelt
240,Southern Walnut Creek Greenbelt,53505,14499,7188,653,2357,439,7310,641,2234,628,601.16025764,24,11,1,3,0,12,1,3,1,1294,2,4592,7,1068,1,Southern Walnut Creek Greenbelt
241,Sparky Pocket Park,1989,212,82,2,4,6,130,7,10,9,0.4550046,467,180,5,9,13,287,16,22,20,9,21,14,32,15,33,Sparky Pocket Park
242,Springdale Neighborhood Park,4664,567,240,4,36,33,327,14,62,56,16.36640913,34,14,0,2,2,20,0,3,3,19,1,99,6,89,5,Springdale Neighborhood Park
243,Springwoods Neighborhood Park,7503,962,481,60,123,29,481,37,88,39,12.45145586,77,38,4,9,2,38,3,7,3,97,7,211,17,69,5,Springwoods Neighborhood Park
244,St. Edwards Greenbelt,6054,1401,671,29,163,74,729,27,161,76,79.8,17,8,0,2,0,9,0,2,0,56,0,325,4,151,1,St. Edwards Greenbelt
245,St. Elmo School Park,4061,259,126,11,34,17,133,10,26,13,5.51527426,47,22,2,6,3,24,1,4,2,22,4,61,11,30,5,St. Elmo School Park
246,St. John Pocket Park,2930,185,121,7,33,0,63,2,13,4,0.97,191,125,8,34,0,65,2,13,4,10,10,46,47,5,5,St. John Pocket Park
247,Steck Valley Greenbelt,26141,9742,4932,189,897,765,4810,162,730,1095,38.35643094,254,128,4,23,19,125,4,19,28,351,9,1628,42,1861,48,Steck Valley Greenbelt
248,Stephenson Nature Preserve & Outdoor Education Center,17091,4031,1986,170,375,149,2045,155,343,291,147.282,27,13,1,2,1,13,1,2,1,326,2,718,4,440,2,Stephenson Nature Preserve & Outdoor Education Center
249,Stillhouse Hollow Nature Preserve,11421,2063,962,39,237,188,1101,45,235,278,19.8278,104,48,2,11,9,55,2,11,14,85,4,473,23,467,23,Stillhouse Hollow Nature Preserve
250,Stratford Overlook Greenbelt,11323,5611,2916,135,649,326,2695,147,589,529,0.07,80170,41667,1931,9281,4657,38502,2101,8420,7561,282,4032,1239,17702,855,12218,Stratford Overlook Greenbelt
251,Swede Hill Pocket Park,878,95,62,0,0,2,33,6,6,2,0.5694,167,108,0,0,3,58,11,11,4,6,11,6,11,4,8,Swede Hill Pocket Park
252,Symphony Square,5232,105,66,0,0,5,38,0,0,5,0.484,218,138,0,0,11,80,0,0,10,0,0,0,0,10,22,Symphony Square
253,T.A. Brown Neighborhood Park,6970,967,555,38,77,12,411,38,105,6,2.29,422,242,16,33,5,179,16,45,2,76,33,182,79,18,7,T.A. Brown Neighborhood Park
254,Tahoe Trail Pocket Park,3911,213,101,9,24,15,111,9,34,24,0.308,692,330,31,78,48,361,31,112,78,19,63,58,190,39,127,Tahoe Trail Pocket Park
255,Tanglewood Neighborhood Park,8719,1036,484,28,133,71,552,11,139,94,14.1402,73,34,2,9,5,39,0,9,6,40,2,273,19,166,11,Tanglewood Neighborhood Park
256,Tannehill Branch Greenbelt,19608,7784,3732,238,773,285,4051,270,832,500,4.504,1728,828,52,171,63,899,60,184,111,509,113,1606,356,786,174,Tannehill Branch Greenbelt
257,Tarrytown Neighborhood Park,2937,535,260,36,86,23,274,21,79,29,2.2502,238,115,16,38,10,122,9,35,12,58,25,165,73,52,23,Tarrytown Neighborhood Park
258,The Circle Greenbelt,22785,9474,4904,134,510,447,4569,123,468,487,1.208,7842,4060,111,422,370,3782,102,387,403,258,214,978,810,935,774,The Circle Greenbelt
259,Tom Lasseter-South Lamar Neighborhood Park,3921,748,362,22,54,14,386,36,93,19,2.084,359,173,10,26,6,185,17,44,9,59,28,147,70,34,16,Tom Lasseter-South Lamar Neighborhood Park
260,Trailhead Neighborhood Park,15804,653,319,11,81,18,333,8,77,19,13.63828257,47,23,0,5,1,24,0,5,1,19,1,159,11,38,2,Trailhead Neighborhood Park
261,Triangle Commons Neighborhood Park,3345,654,314,7,17,19,339,3,24,13,6.05,108,51,1,2,3,56,0,4,2,11,1,41,6,32,5,Triangle Commons Neighborhood Park
262,Umlauf Sculpture Garden,5823,458,223,1,10,14,235,12,25,28,7.8449,58,28,0,1,1,30,1,3,3,13,1,35,4,42,5,Umlauf Sculpture Garden
263,Upper Bull Creek Greenbelt,48796,15343,7531,387,1859,1106,7811,393,1910,1145,181.7298694,84,41,2,10,6,42,2,10,6,780,4,3770,20,2252,12,Upper Bull Creek Greenbelt
264,Veterans Pocket Park,5002,72,43,2,4,0,28,2,4,0,0.67361979,107,65,3,7,0,42,3,6,1,4,6,9,13,1,2,Veterans Pocket Park
265,Vic Mathias Shores at Town Lake Metro Park,8444,246,153,0,0,8,93,0,1,6,5.76681669,42,26,0,0,1,16,0,0,1,0,0,1,0,14,2,Vic Mathias Shores at Town Lake Metro Park
266,Waller Beach at Town Lake Metro Park,12963,2384,1308,5,40,184,1075,6,48,191,28.80830482,82,45,0,1,6,37,0,1,6,11,0,89,3,375,13,Waller Beach at Town Lake Metro Park
267,Waller Creek Greenbelt,38559,15250,8411,79,404,620,6838,239,518,708,4.25945033,3580,1974,18,94,145,1605,56,121,166,318,74,922,216,1328,311,Waller Creek Greenbelt
268,Walnut Creek Metro Park,40981,16423,8164,414,1179,629,8258,706,1601,986,290.52051343,56,28,1,4,2,28,2,5,3,1121,3,2780,9,1616,5,Walnut Creek Metro Park
269,Walnut Creek Sports Park,24275,3480,1702,154,722,96,1777,186,626,89,227.96811979,15,7,0,3,0,7,0,2,0,341,1,1348,5,186,0,Walnut Creek Sports Park
270,Walsh Boat Landing,4997,436,222,9,49,18,214,6,51,28,3.92369047,111,56,2,12,4,54,1,13,7,15,3,101,25,46,11,Walsh Boat Landing
271,Walter E. Long Metro Park,27630,10039,4922,423,1671,287,5116,483,1753,234,1885.44189589,5,2,0,0,0,2,0,0,0,907,0,3425,1,521,0,Walter E. Long Metro Park
272,Waterloo Neighborhood Park,5232,410,258,0,0,26,152,4,5,26,10.0212,40,25,0,0,2,15,0,0,2,4,0,6,0,52,5,Waterloo Neighborhood Park
273,Wells Creek Greenbelt,28834,9572,4598,300,813,378,4974,340,907,444,9.18,1042,500,32,88,41,541,37,98,48,640,69,1721,187,822,89,Wells Creek Greenbelt
274,West Austin Neighborhood Park,5368,680,325,1,10,39,355,16,21,43,3.31956766,205,97,0,3,11,107,5,6,13,18,5,32,9,83,25,West Austin Neighborhood Park
275,West Bouldin Creek Greenbelt,30424,11710,6178,334,695,436,5532,411,852,435,16.86731362,694,366,19,41,25,327,24,50,25,745,44,1548,91,871,51,West Bouldin Creek Greenbelt
276,Westcreek Pocket Park,2990,186,94,6,18,18,91,6,13,12,1.293,143,73,4,14,14,70,4,10,10,12,9,31,24,31,24,Westcreek Pocket Park
277,Westenfield Neighborhood Park,4311,742,362,15,69,44,379,30,75,38,4.94370761,150,73,3,14,9,76,6,15,7,45,9,144,29,83,16,Westenfield Neighborhood Park
278,William H. Russell Karst Preserve,16559,3875,1978,143,499,121,1896,82,244,189,190.921,20,10,0,2,0,9,0,1,0,225,1,743,3,310,1,William H. Russell Karst Preserve
279,Williams School Park,4552,231,101,8,20,4,130,18,31,9,9.892,23,10,0,2,0,13,1,3,0,27,2,52,5,14,1,Williams School Park
280,Williamson Creek Central Greenbelt,63443,34123,16981,1056,3245,1380,17141,1339,3607,1826,91.22899701,374,186,11,35,15,187,14,39,20,2396,26,6853,75,3207,35,Williamson Creek Central Greenbelt
281,Williamson Creek East Greenbelt,43650,27604,13760,969,3695,777,13843,989,3542,744,87.28068991,316,157,11,42,8,158,11,40,8,1959,22,7238,82,1522,17,Williamson Creek East Greenbelt
282,Williamson Creek West Greenbelt,37062,13356,6704,506,1268,605,6652,362,1132,878,76.25644663,175,87,6,16,7,87,4,14,11,868,11,2401,31,1484,19,Williamson Creek West Greenbelt
283,Wooldridge School Park,6179,607,363,23,75,16,244,33,77,20,9.06898355,66,40,2,8,1,26,3,8,2,57,6,152,16,37,4,Wooldridge School Park
284,Wooldridge Square,4109,170,107,0,0,8,62,0,0,7,1.7488,97,61,0,0,5,35,0,0,4,0,0,0,0,16,9,Wooldridge Square
285,Wooten Neighborhood Park,7928,933,493,100,135,22,439,22,115,54,6.28,148,78,16,21,3,70,3,18,8,123,19,250,39,76,12,Wooten Neighborhood Park
286,Wunneburger Neighborhood Park,4954,22,11,0,2,1,11,0,2,1,23.51,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,Wunneburger Neighborhood Park
287,Yates Pocket Park,7507,181,99,7,20,2,82,1,16,5,0.9338,194,106,8,22,2,88,1,17,6,9,10,37,40,7,8,Yates Pocket Park
288,Yett Creek Neighborhood Park,9070,1327,685,37,95,102,642,50,115,102,40.545,32,16,0,2,2,15,1,2,2,87,2,211,5,204,5,Yett Creek Neighborhood Park
289,Zilker Metro Park,34855,14920,7728,398,968,598,7192,468,1029,702,307.84906621,48,25,1,3,1,23,1,3,2,866,2,1997,6,1300,4,Zilker Metro Park
290,Zilker Nature Preserve,10503,1315,694,35,130,58,620,32,100,81,77.39090711,16,8,0,1,0,8,0,1,1,68,0,230,2,139,1,Zilker Nature Preserve
