,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
199,Pickfair Pocket Park,1219,3,1,9,2,7,14,1.237,31,2,1,7,2,5,11,Pickfair Pocket Park,38
200,Pillow School Park,782,10,14,18,18,14,25,6.62859478,15,1,2,2,2,2,3,Pillow School Park,103
201,Piney Bend Neighborhood Park,3533,29,73,62,66,43,29,4.335,70,6,16,14,15,10,6,Piney Bend Neighborhood Park,305
202,Pioneer Crossing Neighborhood Park,2159,18,22,33,16,12,8,17.96,6,1,1,1,0,0,0,Pioneer Crossing Neighborhood Park,111
203,Ponciana Neighborhood Park,1895,95,93,32,42,32,12,5.179,59,18,17,6,8,6,2,Ponciana Neighborhood Park,308
204,Quail Creek Neighborhood Park,5349,348,327,115,86,8,15,16.299,55,21,20,7,5,0,0,Quail Creek Neighborhood Park,901
205,Ramsey Neighborhood Park,2367,48,40,98,17,42,99,5.26800149,65,9,7,18,3,8,18,Ramsey Neighborhood Park,345
206,Red Bluff Nature Preserve,3302,194,142,99,86,44,28,49.736,11,3,2,1,1,0,0,Red Bluff Nature Preserve,596
207,Red Bluff Neighborhood Park,2179,34,18,12,13,6,0,7.196,12,4,2,1,1,0,0,Red Bluff Neighborhood Park,86
208,Red Bud Isle,2810,57,36,28,26,25,62,17.49307899,13,3,2,1,1,1,3,Red Bud Isle,236
209,Reed Neighborhood Park,713,9,8,8,15,26,79,6.35935429,23,1,1,1,2,4,12,Reed Neighborhood Park,147
210,Reilly School Park,787,22,26,23,10,7,5,9.86,9,2,2,2,1,0,0,Reilly School Park,95
211,Republic Square,2521,8,9,11,9,22,43,1.748,59,4,5,6,5,12,24,Republic Square,104
212,Riata Neighborhood Park,2540,11,51,33,41,54,43,8.08,29,1,6,4,5,6,5,Riata Neighborhood Park,235
213,Ricky Guerrero Neighborhood Park,2753,20,8,17,4,9,22,1.90776495,43,10,4,9,2,4,11,Ricky Guerrero Neighborhood Park,82
214,Rinard Creek Greenbelt,5403,154,485,284,370,408,170,22.633,82,6,21,12,16,18,7,Rinard Creek Greenbelt,1873
215,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,5588,14,9,11,6,21,46,1.63434011,67,8,5,7,3,13,28,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,110
216,Ron Rigsby Pocket Park,1091,42,50,19,14,9,5,0.8357,168,51,60,22,17,10,6,Ron Rigsby Pocket Park,141
217,Rosewood Neighborhood Park,1603,112,44,41,18,29,37,14.22276674,19,7,3,2,1,2,2,Rosewood Neighborhood Park,283
218,Roy G. Guerrero Colorado River Metro Park,17467,3281,2469,1741,726,867,476,399.46658273,23,8,6,4,1,2,1,Roy G. Guerrero Colorado River Metro Park,9562
219,Roy Kizer Golf Course,10073,512,766,646,467,227,143,265.19065743,10,1,2,2,1,0,0,Roy Kizer Golf Course,2763
220,Ryan Planting Strip,1047,15,20,10,9,19,12,0.24088698,362,65,86,42,37,79,51,Ryan Planting Strip,87
221,Salt Springs Neighborhood Park,1170,5,6,11,3,3,1,9.45904729,3,0,0,1,0,0,0,Salt Springs Neighborhood Park,32
222,Sanchez School Park,704,5,16,17,7,8,11,1.3,51,4,12,13,5,6,8,Sanchez School Park,67
223,Schieffer Tract,2729,62,54,24,16,14,10,4.35596015,41,14,12,5,3,3,2,Schieffer Tract,182
224,Scofield Farms Neighborhood Park,3785,34,110,104,71,71,59,20.6445,21,1,5,5,3,3,2,Scofield Farms Neighborhood Park,451
225,Seiders Springs at Shoal Creek Greenbelt,10257,1112,761,822,401,601,1146,4.22,1148,263,180,194,95,142,271,Seiders Springs at Shoal Creek Greenbelt,4846
226,Sendera Mesa Neighborhood Park,2559,13,26,36,31,56,18,4.61649392,39,2,5,7,6,12,3,Sendera Mesa Neighborhood Park,183
227,Shinoak Valley Greenbelt,7133,310,615,571,354,651,1108,10.46021446,345,29,58,54,33,62,105,Shinoak Valley Greenbelt,3612
228,Shipe Neighborhood Park,3446,37,87,64,37,52,61,2.45876512,138,15,35,26,15,21,25,Shipe Neighborhood Park,340
229,Shoal Beach at Town Lake Metro Park,8392,76,81,112,80,146,231,13.48083855,54,5,6,8,5,10,17,Shoal Beach at Town Lake Metro Park,729
230,Shoal Creek Greenbelt,37905,6161,3395,3377,1987,3098,5190,80.67868635,287,76,42,41,24,38,64,Shoal Creek Greenbelt,23211
231,Silk Oak Neighborhood Park,1970,55,50,56,54,73,66,17.68232301,20,3,2,3,3,4,3,Silk Oak Neighborhood Park,357
232,Sir Swante Palm Neighborhood Park,4471,57,39,39,26,69,134,3.24240255,113,17,12,12,8,21,41,Sir Swante Palm Neighborhood Park,366
233,Slaughter Creek Greenbelt,10276,577,1057,960,929,1110,435,73.780646,68,7,14,13,12,15,5,Slaughter Creek Greenbelt,5071
234,South Austin Island,1912,16,8,8,12,14,11,0.06846614,1054,246,122,120,189,211,163,South Austin Island,72
235,South Austin Neighborhood Park,2491,65,64,71,51,42,69,12.27,29,5,5,5,4,3,5,South Austin Neighborhood Park,365
236,South Austin Senior Activity Center,3497,99,86,76,53,83,51,4.63,97,21,18,16,11,17,11,South Austin Senior Activity Center,450
237,South Austin Tennis Center,1835,63,64,73,54,36,62,12.05,29,5,5,6,4,2,5,South Austin Tennis Center,354
238,South Boggy Creek Greenbelt,22728,1381,3186,2561,1513,927,455,29.853245,335,46,106,85,50,31,15,South Boggy Creek Greenbelt,10026
239,South Boggy Creek Greenbelt,22728,1381,3186,2561,1513,927,455,8.54716954,1173,161,372,299,177,108,53,South Boggy Creek Greenbelt,10026
240,Southern Walnut Creek Greenbelt,16864,1002,1508,768,549,385,128,601.16025764,7,1,2,1,0,0,0,Southern Walnut Creek Greenbelt,4342
241,Sparky Pocket Park,1064,44,28,23,4,4,4,0.4550046,242,97,63,52,10,9,9,Sparky Pocket Park,110
242,Springdale Neighborhood Park,1739,87,55,28,25,16,0,16.36640913,13,5,3,1,1,1,0,Springdale Neighborhood Park,213
243,Springwoods Neighborhood Park,3424,37,121,97,81,65,7,12.45145586,33,2,9,7,6,5,0,Springwoods Neighborhood Park,411
244,St. Edwards Greenbelt,2419,16,44,62,61,55,281,79.8,6,0,0,0,0,0,3,St. Edwards Greenbelt,521
245,St. Elmo School Park,1451,20,26,16,11,15,5,5.51527426,17,3,4,2,2,2,0,St. Elmo School Park,96
246,St. John Pocket Park,881,23,10,6,4,7,2,0.97,57,24,11,6,5,7,2,St. John Pocket Park,55
247,Steck Valley Greenbelt,12665,579,1077,816,748,726,1086,38.35643094,131,15,28,21,19,18,28,Steck Valley Greenbelt,5034
248,Stephenson Nature Preserve & Outdoor Education Center,7657,218,379,438,322,362,122,147.282,12,1,2,2,2,2,0,Stephenson Nature Preserve & Outdoor Education Center,1843
249,Stillhouse Hollow Nature Preserve,5204,75,147,104,166,126,325,19.8278,47,3,7,5,8,6,16,Stillhouse Hollow Nature Preserve,945
250,Stratford Overlook Greenbelt,4683,361,227,219,217,345,942,0.07,33068,5170,3256,3135,3107,4931,13467,Stratford Overlook Greenbelt,2314
251,Swede Hill Pocket Park,351,8,4,5,5,5,8,0.5694,67,14,8,8,10,10,14,Swede Hill Pocket Park,38
252,Symphony Square,3180,5,6,7,5,13,26,0.484,133,11,13,15,11,27,53,Symphony Square,64
253,T.A. Brown Neighborhood Park,2659,38,81,137,27,51,40,2.29,164,16,35,60,12,22,17,T.A. Brown Neighborhood Park,377
254,Tahoe Trail Pocket Park,1628,10,26,22,4,11,3,0.308,258,35,85,71,14,38,11,Tahoe Trail Pocket Park,79
255,Tanglewood Neighborhood Park,2916,32,56,30,22,85,101,14.1402,23,2,3,2,1,6,7,Tanglewood Neighborhood Park,328
256,Tannehill Branch Greenbelt,7379,689,517,512,307,442,472,4.504,652,153,114,113,68,98,104,Tannehill Branch Greenbelt,2940
257,Tarrytown Neighborhood Park,1048,9,12,17,7,55,86,2.2502,84,4,5,7,3,24,38,Tarrytown Neighborhood Park,189
258,The Circle Greenbelt,12197,848,711,863,538,909,1126,1.208,4137,702,589,714,445,753,932,The Circle Greenbelt,4998
259,Tom Lasseter-South Lamar Neighborhood Park,1577,39,33,44,43,76,57,2.084,141,18,15,21,20,36,27,Tom Lasseter-South Lamar Neighborhood Park,294
260,Trailhead Neighborhood Park,5819,8,22,27,23,35,113,13.63828257,16,0,1,2,1,2,8,Trailhead Neighborhood Park,230
261,Triangle Commons Neighborhood Park,1795,81,77,54,43,51,35,6.05,56,13,12,9,7,8,5,Triangle Commons Neighborhood Park,343
262,Umlauf Sculpture Garden,3328,20,32,59,34,54,70,7.8449,34,2,4,7,4,6,9,Umlauf Sculpture Garden,272
263,Upper Bull Creek Greenbelt,19672,367,778,635,588,966,2243,181.7298694,30,2,4,3,3,5,12,Upper Bull Creek Greenbelt,5580
264,Veterans Pocket Park,2877,11,9,5,2,2,2,0.67361979,49,16,14,7,3,3,3,Veterans Pocket Park,33
265,Vic Mathias Shores at Town Lake Metro Park,5227,12,29,29,13,26,37,5.76681669,25,2,5,5,2,4,6,Vic Mathias Shores at Town Lake Metro Park,149
266,Waller Beach at Town Lake Metro Park,7624,284,130,165,69,261,518,28.80830482,49,9,4,5,2,9,17,Waller Beach at Town Lake Metro Park,1431
267,Waller Creek Greenbelt,15207,1265,975,991,715,1277,1839,4.25945033,1658,297,229,232,168,299,431,Waller Creek Greenbelt,7065
268,Walnut Creek Metro Park,17950,930,2009,1725,994,1086,565,290.52051343,25,3,6,5,3,3,1,Walnut Creek Metro Park,7313
269,Walnut Creek Sports Park,7509,217,412,151,53,106,23,227.96811979,4,0,1,0,0,0,0,Walnut Creek Sports Park,965
270,Walsh Boat Landing,2045,16,14,13,35,15,89,3.92369047,47,4,3,3,9,4,22,Walsh Boat Landing,185
271,Walter E. Long Metro Park,7554,595,687,606,322,344,162,1885.44189589,1,0,0,0,0,0,0,Walter E. Long Metro Park,2718
272,Waterloo Neighborhood Park,3180,35,38,34,23,45,70,10.0212,24,3,3,3,2,4,6,Waterloo Neighborhood Park,246
273,Wells Creek Greenbelt,11713,441,870,964,684,639,491,9.18,445,48,94,105,74,69,53,Wells Creek Greenbelt,4091
274,West Austin Neighborhood Park,3331,61,84,117,35,57,92,3.31956766,135,18,25,35,10,17,27,West Austin Neighborhood Park,449
275,West Bouldin Creek Greenbelt,16808,1069,887,976,777,1181,1322,16.86731362,368,63,52,57,46,70,78,West Bouldin Creek Greenbelt,6214
276,Westcreek Pocket Park,1388,5,16,15,7,20,14,1.293,62,4,12,12,5,16,11,Westcreek Pocket Park,80
277,Westenfield Neighborhood Park,2073,40,39,57,40,26,130,4.94370761,67,8,8,11,8,5,26,Westenfield Neighborhood Park,334
278,William H. Russell Karst Preserve,6580,145,211,276,269,416,205,190.921,7,0,1,1,1,2,1,William H. Russell Karst Preserve,1524
279,Williams School Park,1789,15,19,28,20,2,2,9.892,8,1,2,2,2,0,0,Williams School Park,88
280,Williamson Creek Central Greenbelt,25790,2542,3700,2822,1910,1757,884,91.22899701,149,27,40,30,20,19,9,Williamson Creek Central Greenbelt,13617
281,Williamson Creek East Greenbelt,14112,2015,2678,1808,1361,677,264,87.28068991,100,23,30,20,15,7,3,Williamson Creek East Greenbelt,8805
282,Williamson Creek West Greenbelt,15223,525,1006,1277,899,1256,1044,76.25644663,78,6,13,16,11,16,13,Williamson Creek West Greenbelt,6010
283,Wooldridge School Park,2115,56,63,39,25,16,6,9.06898355,22,6,6,4,2,1,0,Wooldridge School Park,206
284,Wooldridge Square,2521,8,9,11,8,21,43,1.7488,59,4,5,6,5,12,24,Wooldridge Square,104
285,Wooten Neighborhood Park,3196,54,102,84,34,34,11,6.28,51,8,16,13,5,5,1,Wooten Neighborhood Park,321
286,Wunneburger Neighborhood Park,1959,0,1,1,1,1,1,23.51,0,0,0,0,0,0,0,Wunneburger Neighborhood Park,8
287,Yates Pocket Park,2328,26,7,8,7,4,1,0.9338,59,27,7,8,7,5,1,Yates Pocket Park,55
288,Yett Creek Neighborhood Park,3953,14,80,86,135,114,133,40.545,13,0,1,2,3,2,3,Yett Creek Neighborhood Park,565
289,Zilker Metro Park,18399,1169,1374,1249,997,1401,1873,307.84906621,26,3,4,4,3,4,6,Zilker Metro Park,8064
290,Zilker Nature Preserve,5665,113,98,90,74,77,160,77.39090711,7,1,1,1,0,1,2,Zilker Nature Preserve,615
