,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
36,"Burnett ""Blondie"" Pharr Tennis Center",6655,1429331.1189169488,8.45,22,18,15,4,"Burnett ""Blondie"" Pharr Tennis Center",193,156,129,37
37,Buttermilk Branch Greenbelt,6598,2067933.9671938366,4.00384587,177,41,20,135,Buttermilk Branch Greenbelt,708,166,83,542
38,Buttermilk Neighborhood Park,6598,1865991.5302492108,16.60250868,48,11,6,37,Buttermilk Neighborhood Park,813,197,106,616
39,Caldwell Treaty Oak Park,3827,688218.0516155957,0.308085,390,354,313,36,Caldwell Treaty Oak Park,120,109,96,11
40,Canyon Vista Pool,4422,594265.3537697729,0.47907723,155,145,82,10,Canyon Vista Pool,74,69,39,4
41,Caswell Tennis Center,5434,778604.8454124583,3.06,145,115,84,30,Caswell Tennis Center,444,352,257,92
42,Central Maintenance Complex at Town Lake Metro Park,2390,1303614.4052829621,9.21592622,21,8,4,12,Central Maintenance Complex at Town Lake Metro Park,196,81,44,114
43,Cherry Creek Neighborhood Park,5069,1734782.9589397623,10.25,20,15,13,4,Cherry Creek Neighborhood Park,211,163,137,48
44,Cherrywood Pocket Park,3268,778087.1052689649,0.516,343,301,273,41,Cherrywood Pocket Park,177,155,140,21
45,Chestnut Pocket Park,1611,775873.9753337568,0.6082,270,225,173,45,Chestnut Pocket Park,164,136,105,27
46,Circle C Ranch on Slaughter Creek,25430,15511411.815214405,591.5715,2,2,1,0,Circle C Ranch on Slaughter Creek,1572,1278,1087,294
47,City of Austin/YMCA North Austin Community Recreation Center,8534,1400449.180959859,6.997,99,25,15,73,City of Austin/YMCA North Austin Community Recreation Center,693,178,109,514
48,Civitan Neighborhood Park,11050,1581632.048873318,7.12,43,9,4,33,Civitan Neighborhood Park,312,71,34,241
49,Colony Park District Park,9542,5138811.270243874,91.79060585,7,3,0,4,Colony Park District Park,696,278,51,417
50,Colorado River Greenbelt,3835,1584316.4459314123,8.475,10,5,2,4,Colorado River Greenbelt,88,47,20,41
51,Colorado River Park WIldlife Sanctuary,8443,2450591.230648958,43.331,5,2,1,2,Colorado River Park WIldlife Sanctuary,220,99,54,121
52,Colorado/Walnut Greenbelt,11705,5857363.463157936,99.663,2,1,0,0,Colorado/Walnut Greenbelt,199,125,55,74
53,Comal Pocket Park,1025,849041.8040029126,0.97071,102,49,32,52,Comal Pocket Park,99,48,31,51
54,Commons Ford Ranch Metro Park,16621,2004536.9843912441,215.235,1,1,1,0,Commons Ford Ranch Metro Park,426,392,336,33
55,Conley-Guerrero Senior Activity Center,4643,824043.1023724639,2.43782134,57,24,7,32,Conley-Guerrero Senior Activity Center,139,59,18,79
56,Convict Hill Quarry Neighborhood Park,4830,1063836.942609699,2.814,42,35,32,6,Convict Hill Quarry Neighborhood Park,118,99,90,19
57,Cook School Park,5988,1615776.6825219644,7.69,53,32,21,20,Cook School Park,409,250,168,159
58,Copperfield Neighborhood Park,6125,1123076.834893818,4.62,53,26,14,27,Copperfield Neighborhood Park,249,122,65,126
59,Country Club Creek Greenbelt,5234,4599338.285069093,41.843,22,9,5,12,Country Club Creek Greenbelt,928,407,245,520
60,Covert Park at Mount Bonnell,2640,1738491.4179168744,5.54,13,13,12,0,Covert Park at Mount Bonnell,77,73,66,3
61,Crestland Triangle,4041,737728.0838832462,0.457,448,232,204,216,Crestland Triangle,205,106,93,98
62,Cunningham School Park,4448,1208769.4755703588,3.55,63,46,38,17,Cunningham School Park,225,163,135,61
63,Davis Hill Neighborhood Park,4861,1700432.1346674236,8.36,34,23,18,10,Davis Hill Neighborhood Park,286,198,153,88
64,Davis Spring Special Park,9399,1976418.7130962685,14.472,19,15,8,3,Davis Spring Special Park,276,225,121,51
65,Davis/White Northeast Neighborhood Park,8386,2019603.4528245826,19.55157,8,3,0,4,Davis/White Northeast Neighborhood Park,161,67,7,94
66,Decker Tallgrass Prairie Preserve,1043,9294014.81881143,347.9910643,0,0,0,0,Decker Tallgrass Prairie Preserve,35,22,4,12
67,Deer Park at Maple Run Preserve,13734,2328952.9984409157,24.278,13,10,7,2,Deer Park at Maple Run Preserve,317,249,184,67
68,Dick Nichols District Park,18388,6249938.710730006,140.1464,7,5,4,1,Dick Nichols District Park,989,742,615,246
69,Doss School Park,1809,1518472.093253523,6.2,32,30,28,1,Doss School Park,199,187,176,11
70,Dottie Jordan Neighborhood Park,5469,2363642.815758358,11.45,29,18,10,10,Dottie Jordan Neighborhood Park,338,216,121,122
71,Dougherty Arts Center,5929,581569.4571636835,2.3400354,44,35,32,9,Dougherty Arts Center,103,82,76,21
72,Dove Springs District Park,2778,1412285.632401205,59.001,0,0,0,0,Dove Springs District Park,49,17,12,32
73,Downs Mabson Fields,4298,1414478.9398498584,9.97,25,19,11,6,Downs Mabson Fields,259,192,119,66
74,Dry Creek Greenbelt,8462,1694772.0440305632,6.1149,47,9,4,37,Dry Creek Greenbelt,291,60,29,231
75,Duncan Neighborhood Park,7936,1270209.763291677,5.91,37,33,29,3,Duncan Neighborhood Park,220,198,173,22
76,Earl J. Pomerleau Pocket Park,3342,968645.6017031481,1.927,154,93,37,60,Earl J. Pomerleau Pocket Park,297,180,73,116
77,East Boggy Creek Greenbelt,10496,4538657.26409104,75.1792,4,2,0,2,East Boggy Creek Greenbelt,335,156,71,178
78,East Bouldin Creek Greenbelt,1344,826034.6110316495,0.652,135,125,118,9,East Bouldin Creek Greenbelt,88,81,77,6
79,Eastwoods Neighborhood Park,3121,1757087.2582654417,9.9,36,31,27,5,Eastwoods Neighborhood Park,361,309,275,52
80,Edward Rendon Sr. Metro Park at Festival Beach,7345,5906282.206664765,72.86032804,10,6,5,3,Edward Rendon Sr. Metro Park at Festival Beach,745,471,367,273
81,Eilers (Deep Eddy) Neighborhood Park,7827,1598093.8868832672,8.976415,19,18,5,0,Eilers (Deep Eddy) Neighborhood Park,174,169,51,5
82,Elizabet Ney Museum,5406,944121.7627696425,2.5482,78,71,64,6,Elizabet Ney Museum,198,181,165,17
83,Ellen Higgins Pocket Park,5468,839127.9821939364,0.61,255,204,174,51,Ellen Higgins Pocket Park,156,124,106,31
84,Emma Long Metro Park,15622,7554081.208243849,1109.27531553,0,0,0,0,Emma Long Metro Park,541,482,419,58
85,Forest North Neighborhood Park,1797,873694.7845374921,2.486,38,28,21,9,Forest North Neighborhood Park,94,70,53,23
86,Gaines Creek Neighborhood Park,8113,2620856.8074830817,37.92,4,4,3,0,Gaines Creek Neighborhood Park,174,158,149,16
87,Gaines Greenbelt,5154,3439219.325265446,94.04,2,1,1,0,Gaines Greenbelt,201,179,161,22
88,Gaines Park at Barton Creek Greenbelt,3467,651160.4372491164,6.0148,3,3,1,0,Gaines Park at Barton Creek Greenbelt,19,18,11,1
89,Garrison District Park,4599,2854897.2499904037,40.0,8,5,4,3,Garrison District Park,327,205,178,121
90,George Washington Carver Museum,1314,409839.6793090013,0.29825221,253,148,82,105,George Washington Carver Museum,75,44,24,31
91,Georgian Acres Neighborhood Park,4214,1456246.863108409,4.997,103,32,15,71,Georgian Acres Neighborhood Park,518,160,78,358
92,Gillis Neighborhood Park,4116,1401526.274995101,7.8,30,20,18,10,Gillis Neighborhood Park,241,160,140,80
93,Givens District Park,10555,2376831.971219393,41.43280472,8,4,2,3,Givens District Park,360,204,90,155
94,Goat Cave Karst Nature Preserve,8778,2040850.241605174,14.86917361,30,21,16,9,Goat Cave Karst Nature Preserve,458,314,248,144
95,Govalle Neighborhood Park,3465,2613261.9381103776,26.314,5,2,1,2,Govalle Neighborhood Park,144,70,34,73
96,Gracywoods Neighborhood Park,7983,3600116.346506656,19.16894226,20,15,12,4,Gracywoods Neighborhood Park,391,303,231,87
97,Grand Meadow Neighborhood Park,10150,1539199.0197282636,9.926,28,11,6,17,Grand Meadow Neighborhood Park,282,110,69,171
98,Great Hills Neighborhood Park,11876,11254701.854342708,76.05124007,23,20,16,3,Great Hills Neighborhood Park,1763,1522,1225,240
99,Gregg Hill Pocket Park,3271,892152.1101509552,1.51,114,102,94,11,Gregg Hill Pocket Park,172,154,142,17
100,Grey Rock Golf Course,14657,10054677.283227501,296.9573,3,2,2,0,Grey Rock Golf Course,1046,887,724,159
101,Gullett School Park,3238,1916557.9595864895,14.58,19,17,15,1,Gullett School Park,277,252,222,24
102,"Gustavo ""Gus"" L. Garcia District Park",12465,2815149.2000088478,47.271,18,4,1,14,"Gustavo ""Gus"" L. Garcia District Park",886,206,81,680
103,Hall/Goodnight Planting Strip,1937,1500728.639008536,1.229913,159,144,137,15,Hall/Goodnight Planting Strip,196,177,168,18
104,Hancock Golf Course,6123,2947428.510266054,51.83,10,9,7,1,Hancock Golf Course,546,478,406,67
105,Harpers Branch Creek Greenbelt,1308,1438994.7808319246,1.6919,91,78,67,12,Harpers Branch Creek Greenbelt,154,132,114,21
106,Harris Branch Neighborhood Park,6164,1343506.7565015282,10.01,8,5,2,2,Harris Branch Neighborhood Park,82,52,26,29
107,Harris Triangle,1688,651666.7664787819,0.18,540,517,469,23,Harris Triangle,97,93,84,4
108,Hartford Planting Strip,2937,1384945.9830666664,1.8588,116,111,104,5,Hartford Planting Strip,216,206,194,9
109,Hartford Triangle,2937,732847.7556182614,0.6,183,178,167,5,Hartford Triangle,110,106,100,3
110,Haskell House,2121,683997.0884027807,0.2405,750,706,635,43,Haskell House,180,170,152,10
111,Heath Eiland and Morgan Moss BMX Skate Park,8788,734976.1551178386,1.3186,53,46,40,7,Heath Eiland and Morgan Moss BMX Skate Park,70,60,53,9
112,Heritage Oaks Neighborhood Park,2030,1270652.4003932993,3.527,81,34,29,46,Heritage Oaks Neighborhood Park,287,123,102,164
113,Hielscher Tract Greenbelt,8224,4752155.135643907,66.58,10,9,7,1,Hielscher Tract Greenbelt,729,627,517,101
114,Highland Neighborhood Park,5865,670833.6438269075,0.241,462,255,225,207,Highland Neighborhood Park,111,61,54,49
115,Hill School Park,1992,1503731.9782357747,5.51,31,27,23,3,Hill School Park,170,151,128,19
116,Holly Shores at Town Lake Metro Park,7138,4057816.7549767056,17.619,25,9,7,15,Holly Shores at Town Lake Metro Park,455,175,136,280
117,Houston School Park,4655,1467732.1235808404,8.74,52,4,3,47,Houston School Park,456,43,27,412
118,Hubert C. Schroeter Neighborhood Park,2941,1708309.3268591997,12.08,28,27,25,0,Hubert C. Schroeter Neighborhood Park,344,335,309,8
119,International Shores at Town Lake Metro Park,2982,1440222.095666296,6.06263555,67,55,47,12,International Shores at Town Lake Metro Park,411,338,285,73
120,J.J. Seabrook Greenbelt,627,1441706.8266150358,2.90116414,33,24,17,9,J.J. Seabrook Greenbelt,98,70,49,27
121,Janet Long Fish Park,8946,2483869.5717453235,27.872,100,58,27,41,Janet Long Fish Park,2794,1627,753,1166
122,Jimmy Clay Golf Course,5669,4661203.322246648,203.11864411,0,0,0,0,Jimmy Clay Golf Course,171,61,47,109
123,John Trevino Jr. Metro Park at Morrison Ranch,14590,3683501.9909216985,330.22,1,0,0,0,John Trevino Jr. Metro Park at Morrison Ranch,448,204,91,244
124,Joslin Neighborhood Park,1502,1277307.7538027028,5.89,24,19,17,5,Joslin Neighborhood Park,144,112,103,32
125,Kealing School Park,2452,2041650.0401335515,14.91436275,25,14,8,10,Kealing School Park,379,221,123,158
126,Kendra Page Neighborhood Park,7001,1940656.1649333441,15.2491,31,4,3,26,Kendra Page Neighborhood Park,478,75,48,402
127,Kennemer Pool,6250,885868.6241563023,1.04,339,120,86,219,Kennemer Pool,353,125,90,228
128,Lakeline Neighborhood Park,5627,1022838.6573420214,10.45,69,55,48,13,Lakeline Neighborhood Park,726,583,511,143
129,Lakeshore at Town Lake Metro Park,4117,1566057.7102928557,3.28252585,76,31,18,45,Lakeshore at Town Lake Metro Park,252,102,60,149
130,Lamar Beach at Town Lake Metro Park,8497,5883254.596394675,65.40901382,13,12,10,1,Lamar Beach at Town Lake Metro Park,875,804,674,71
131,Lamar Senior Activity Center,3441,622971.790431485,1.876,113,92,60,21,Lamar Senior Activity Center,212,172,114,39
132,Latta Branch Greenbelt,23194,16002632.912649304,126.41990405,20,16,14,3,Latta Branch Greenbelt,2638,2149,1868,489
133,Lawrence Street Pocket Park,7417,943339.8514959252,0.9854,336,38,22,297,Lawrence Street Pocket Park,331,37,22,293
134,Legend Oaks Neighborhood Park,4582,1247396.4354105007,7.3,17,14,13,2,Legend Oaks Neighborhood Park,130,108,100,21
135,Little Stacy Neighborhood Park,3984,1517816.907640873,6.7793,42,38,34,4,Little Stacy Neighborhood Park,288,258,231,30
136,Little Walnut Creek Greenbelt,8643,7691607.169594146,205.806,4,2,0,1,Little Walnut Creek Greenbelt,899,532,196,366
137,Little Zilker Neighborhood Park,1722,1223435.686583757,4.57,56,41,39,15,Little Zilker Neighborhood Park,257,188,178,69
138,Longhorn Shores at Town Lake Metro Park,3924,1831711.2522420213,10.63606158,25,10,6,15,Longhorn Shores at Town Lake Metro Park,274,112,63,162
139,Longview Neighborhood Park,2350,1625754.6964374986,20.056,9,6,6,2,Longview Neighborhood Park,186,130,129,55
140,Lott Pocket Park,2192,881778.1052765882,1.12485569,138,84,49,54,Lott Pocket Park,156,94,55,61
141,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,1043,4103050.2144815163,290.6231989,0,0,0,0,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,15,9,2,5
142,Lower Bull Creek Greenbelt,15728,10824064.58033109,115.454,7,6,5,0,Lower Bull Creek Greenbelt,809,728,594,81
143,Lucy Read School Park,1061,1457913.1884588369,5.14,45,41,37,3,Lucy Read School Park,235,215,194,19
144,MLK Station Neighborhood Park,3323,1816721.1430579931,7.917,45,37,25,8,MLK Station Neighborhood Park,363,298,201,65
145,Mabel Davis District Park,6655,3196882.1483337744,53.97237583,10,5,3,5,Mabel Davis District Park,578,293,214,285
146,Maggie Boatright Area of the Bull Creek Greenbelt,3602,66152.79558033543,8.986,0,0,0,0,Maggie Boatright Area of the Bull Creek Greenbelt,5,5,2,0
147,Manuel and Robert Donley Pocket Park,458,712814.5162375292,0.3883,109,50,42,59,Manuel and Robert Donley Pocket Park,42,19,16,23
148,Marble Creek Greenbelt,15444,6734461.7407104205,105.78,2,1,0,1,Marble Creek Greenbelt,310,109,75,200
149,Marble Creek Neighborhood Park,12928,871869.5853658661,8.511,8,3,2,5,Marble Creek Neighborhood Park,74,28,18,45
150,Margaret Hoffman Oak Park,5453,565279.8464626891,0.2208668,459,405,355,53,Margaret Hoffman Oak Park,101,89,78,11
151,Mary Dawson Pocket Park,4424,753900.5263532287,0.92,151,104,103,46,Mary Dawson Pocket Park,139,96,94,43
152,Mary Frances Baylor Clarksville Pocket Park,2956,933257.704890418,1.48911304,132,130,105,2,Mary Frances Baylor Clarksville Pocket Park,196,193,156,3
153,Mary Moore Searight Metro Park,15166,9714708.31197618,342.65952,3,2,1,1,Mary Moore Searight Metro Park,1332,833,642,498
154,Mayfield Park,4922,2380614.1562324334,23.331,8,8,7,0,Mayfield Park,200,186,181,13
155,Meadowview Triangle,2319,740837.0189542562,0.41758451,508,255,225,253,Meadowview Triangle,212,106,94,105
156,Metz Neighborhood Park,1534,1361583.1848320975,6.54525012,23,8,7,14,Metz Neighborhood Park,152,54,45,97
157,Michael Butler Park at Town Lake Metro Park,4269,864709.7568178043,20.299373,6,5,4,1,Michael Butler Park at Town Lake Metro Park,133,107,100,25
158,Michael Butler Shores at Town Lake Metro Park,7950,2458670.08413983,28.65,14,13,11,1,Michael Butler Shores at Town Lake Metro Park,429,381,328,47
159,Millennium Center,2391,873175.243142811,5.5415,28,16,4,12,Millennium Center,157,89,22,68
160,Montopolis Neighborhood Park,3999,1453576.8465675414,7.61,59,20,3,38,Montopolis Neighborhood Park,452,157,29,295
161,Montopolis Practice Fields,7417,1249832.416929949,4.11,88,11,7,76,Montopolis Practice Fields,362,48,29,313
162,Morris Williams Golf Course,13385,6294891.525217202,187.793,3,2,1,1,Morris Williams Golf Course,700,472,238,227
163,Mountain View Neighborhood Park,1810,1348565.952875085,8.273,19,18,10,1,Mountain View Neighborhood Park,164,154,86,9
164,Murchison Pool,4675,866683.9435454356,1.15,132,112,82,19,Murchison Pool,152,129,94,22
165,Musket Valley Neighborhood Park,16293,1973273.170811186,15.91,12,7,3,5,Musket Valley Neighborhood Park,202,112,51,90
166,Nicholas Dawson Neighborhood Park,2764,1201944.8031031182,3.1977,49,40,39,8,Nicholas Dawson Neighborhood Park,158,130,125,28
167,Norman School Park,3013,1550312.4097200553,6.9,21,13,5,7,Norman School Park,147,95,40,52
168,North Acres Greenbelt,7236,1097670.3331267023,2.456,116,31,16,84,North Acres Greenbelt,285,78,40,207
169,North Cat Mountain Greenbelt,5294,7461530.66908497,30.71661354,16,15,14,0,North Cat Mountain Greenbelt,512,483,430,29
170,North Oaks Neighbohood Park,2872,1246250.2652881579,4.616,41,29,22,11,North Oaks Neighbohood Park,189,138,105,50
171,North Star Greenbelt,5401,4793021.966465912,17.61856003,58,36,28,21,North Star Greenbelt,1025,643,500,382
172,Northern Walnut Creek Greenbelt,44123,35164386.96824972,387.40866616,13,8,5,5,Northern Walnut Creek Greenbelt,5414,3344,1950,2070
173,Northwest Balcones Neighborhood Park,5513,1258399.5602916765,7.17204959,22,20,15,2,Northwest Balcones Neighborhood Park,163,144,108,18
174,Northwest Recreation Center,4841,767320.2720762022,6.66585983,13,12,11,0,Northwest Recreation Center,88,82,79,5
175,Norwood Tract at Town Lake Metro Park,7947,2476150.9287905786,9.52917438,39,33,28,6,Norwood Tract at Town Lake Metro Park,373,314,270,58
176,Oak Springs School Park,4268,1482889.5938459716,6.13,39,24,10,14,Oak Springs School Park,239,149,63,90
177,Oak View Neighborhood Park,5099,1396998.641112173,6.975217,39,35,26,4,Oak View Neighborhood Park,276,247,183,29
178,Oakhill Neighborhood Park,5970,2185296.6682027504,14.495,8,7,6,1,Oakhill Neighborhood Park,123,108,97,15
179,Odom School Park,6478,1227742.1025566082,4.3,92,41,32,51,Odom School Park,397,176,141,220
180,Oertli Neighborhood Park,4312,1463807.4779808014,6.0,16,12,5,3,Oertli Neighborhood Park,101,77,32,23
181,Old Bakery and Emporium,5232,697704.3498508029,0.31203828,366,322,281,44,Old Bakery and Emporium,114,100,87,13
182,Old San Antonio Greenbelt,7432,1462352.4403563342,28.33,8,4,4,3,Old San Antonio Greenbelt,227,140,121,87
183,Onion Creek Greenbelt,15120,9460156.386717066,235.65838265,6,1,0,4,Onion Creek Greenbelt,1461,311,203,1150
184,Onion Creek Metro Park,20618,8289240.05851376,517.312,1,0,0,1,Onion Creek Metro Park,918,266,170,652
185,Onion Creek Soccer Complex,4457,1717969.6021866975,112.46,0,0,0,0,Onion Creek Soccer Complex,64,16,11,48
186,Onion Creek Wildlife Sanctuary,1805,5584397.63980085,180.0,0,0,0,0,Onion Creek Wildlife Sanctuary,134,51,39,83
187,Ortega School Park,4540,1354898.3111555143,4.23478002,68,18,11,50,Ortega School Park,290,76,49,214
188,Palma Plaza Pocket Park,2275,698849.2446038371,0.2066,1065,960,955,104,Palma Plaza Pocket Park,220,198,197,21
189,Pan American Neighborhood Park,4239,1545777.6320798704,5.22503385,70,25,16,44,Pan American Neighborhood Park,368,135,85,232
190,Parque Zaragoza Neighborhood Park,5431,1917262.7577498083,15.273,21,4,3,16,Parque Zaragoza Neighborhood Park,323,75,58,248
191,Pastor Edward Clarence Craig Jr. Neighborhood Park,3503,1345213.842159103,5.3,86,17,6,68,Pastor Edward Clarence Craig Jr. Neighborhood Park,457,91,34,365
192,Patterson Neighborhood Park,6655,1295043.23935848,9.29,19,15,13,3,Patterson Neighborhood Park,176,146,128,30
193,Payton Gin Pocket Park,11234,845363.5532434979,0.9709,399,135,97,263,Payton Gin Pocket Park,387,131,94,255
194,Peace Point at Town Lake Metro Park,3440,2260614.983847944,5.46668977,72,39,28,33,Peace Point at Town Lake Metro Park,397,214,156,183
195,Pease District Park,7291,3629476.920171703,42.68088432,15,13,12,1,Pease District Park,669,585,512,83
196,Pecan Springs School Park,2272,1391640.7043358781,4.55,59,31,14,27,Pecan Springs School Park,270,144,64,126
197,Perry Neighborhood Park,2780,1585657.6080973821,10.3933043,13,11,11,1,Perry Neighborhood Park,136,123,115,12
198,Pickfair Pocket Park,3731,913458.3823737593,1.237,96,95,61,0,Pickfair Pocket Park,118,117,75,0
199,Pillow School Park,1588,1578958.2038023516,6.62859478,31,30,27,1,Pillow School Park,210,203,184,6
200,Piney Bend Neighborhood Park,7824,1582519.7662228884,4.335,66,46,36,20,Piney Bend Neighborhood Park,289,201,156,87
201,Pioneer Crossing Neighborhood Park,8242,1970141.4579336925,17.96,9,4,1,5,Pioneer Crossing Neighborhood Park,176,71,25,104
202,Plummers Cemetery,1616,7.792232580537684e-09,7.12815852,0,0,0,0,Plummers Cemetery,0,0,0,0
203,Ponciana Neighborhood Park,2565,1328833.8697333804,5.179,79,7,4,72,Ponciana Neighborhood Park,412,38,24,373
204,Quail Creek Neighborhood Park,5407,1795223.135443312,16.299,63,12,8,50,Quail Creek Neighborhood Park,1033,208,144,824
205,Ramsey Neighborhood Park,1947,1396554.7654113427,5.26800149,52,46,41,6,Ramsey Neighborhood Park,277,243,220,34
206,Red Bluff Nature Preserve,6703,3263691.6592865903,49.736,8,3,1,4,Red Bluff Nature Preserve,412,184,90,227
207,Red Bluff Neighborhood Park,3013,692399.4062646842,7.196,9,5,2,3,Red Bluff Neighborhood Park,66,42,18,23
208,Red Bud Isle,5802,2899769.966592133,17.49307899,11,10,7,1,Red Bud Isle,205,187,122,18
209,Reed Neighborhood Park,1800,1460038.4159631385,6.35935429,21,21,21,0,Reed Neighborhood Park,136,135,134,1
210,Reilly School Park,1640,1524257.5935724345,9.86,20,13,10,6,Reilly School Park,199,133,108,65
211,Republic Square,4109,943494.9647879717,1.748,97,86,75,11,Republic Square,170,150,132,19
212,Riata Neighborhood Park,4191,1667612.9511533345,8.08,20,18,12,1,Riata Neighborhood Park,164,149,98,15
213,Ricky Guerrero Neighborhood Park,5329,956345.1807469672,1.90776495,106,77,61,28,Ricky Guerrero Neighborhood Park,203,148,117,54
214,Rinard Creek Greenbelt,7337,3759110.4856946664,22.633,22,9,7,13,Rinard Creek Greenbelt,517,213,172,304
215,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,9223,860754.9721980018,1.63434011,110,93,80,16,Roberta Crenshaw Overlook at Shoal Beach at Town Lake Metro Park,180,153,131,26
216,Ron Rigsby Pocket Park,3127,956897.230655757,0.8357,484,227,157,256,Ron Rigsby Pocket Park,404,190,131,214
217,Rosewood Neighborhood Park,4281,1247781.459910632,14.22276674,19,10,5,9,Rosewood Neighborhood Park,279,144,82,134
218,Roy G. Guerrero Colorado River Metro Park,16366,9869349.304257786,399.46658273,3,1,0,2,Roy G. Guerrero Colorado River Metro Park,1579,777,357,802
219,Roy Kizer Golf Course,2778,3063501.3961570626,265.19065743,0,0,0,0,Roy Kizer Golf Course,106,37,26,69
220,Ryan Planting Strip,2151,854440.4929038701,0.24088698,768,687,663,80,Ryan Planting Strip,185,165,159,19
